data,classificacao,tipo,noticia
25/04/2025,0,desmatamento,"Desmatamento na Amazônia sobe 178% entre agosto e março; fazem degradação aumentar em 329%. Levantamento do Imazon aponta que 2.296 km² de floresta foram derrubados no período. Já a degradação, que é o dano parcial à vegetação, atingiu 34.013 km². Governo federal nega aumento."
25/04/2025,0,mudanças climáticas,"Chuva forte, ventania e risco de alagamentos: fim de semana será instável em São Paulo e no Rio. Previsão da Climatempo alerta para temporais nesta sexta (25) e instabilidade no fim de semana. Abril pode bater recorde de chuva em SP."
24/04/2025,0,políticas ambientais,"Trump libera mineração em alto-mar, desafia órgão da ONU e ignora alertas ambientais. Presidente assinou ordem que autoriza exploração em larga escala no fundo do oceano, inclusive em águas internacionais. Ambientalistas alertam para risco à vida marinha."
24/04/2025,1,biodiversidade,"Como abelhas viraram arma inesperada para proteger elefantes. Pesquisadores encontraram no Quênia uma solução simples, mas inteligente, para impedir que os elefantes entrem em plantações: cercas feitas com colmeias."
24/04/2025,1,políticas ambientais,"A 200 dias da COP 30, levantamento mostra como estão as obras que já somam mais de R$ 7 bi em Belém. Desde junho de 2024, número de obras quase triplicou, passando de 13 para 38, e o total de investimentos aumentou de R$ 4 bi para R$ 7 bi em menos de um ano. Um levantamento feito pelo g1 mostra que 14 obras não têm informações sobre andamento e data de conclusão."
24/04/2025,1,políticas ambientais,"COP 30 em Belém: quais os principais pontos de debate na Conferência do Clima? A 200 dias do evento, o Brasil busca se consolidar como protagonista no debate global sobre meio ambiente e encara o desafio de articular um financiamento climático na cifra de US$ 1 trilhão por ano."
23/04/2025,0,biodiversidade,"84% dos recifes de coral do mundo são atingidos no pior evento de branqueamento da história. Aproximadamente 25% de todas as espécies marinhas vivem, se alimentam ou se abrigam nos recifes de coral, também chamados de 'florestas tropicais do mar'."
23/04/2025,0,desastres,"1 em cada 3 municípios brasileiros não tem nenhum sistema de drenagem urbana de água da chuva, mostra levantamento inédito. Dado faz parte do 'Estudo sobre o setor de drenagem e manejo de águas pluviais urbanas no Brasil', que avalia os impactos da falta de prevenção a eventos hidrológicos de desastres como enchentes e deslizamentos."
22/04/2025,0,crimes ambientais,"MPF faz recomendação ao Ibama e Petrobras sobre impacto ambiental da exploração de petróleo no AP. Caso as recomendações não sejam adotadas, medidas administrativas poderão ser aplicadas acerca da atividade de exploração de petróleo no norte do estado."
22/04/2025,0,desastres,"O vulcão que pode destruir uma das ilhas paradisíacas mais famosas da Grécia. Os cientistas estão investigando, pela primeira vez, a quão perigosa pode ser a próxima grande erupção na ilha."
